# glossary 앵커 매핑 (한국어 → 일본어)
#
# 일본어판 글을 번역할 때 Term 링크의 href 를 이 표대로 바꾼다.
# 오른쪽 값은 **실제 렌더된 id** 다(추정 아님). github-slugger 가 ・()를 지우고
# 라틴 문자를 소문자로 바꾸므로 제목 텍스트와 슬러그가 다르다.
# 예: '## LRRK2・GBA・SNCAとは何ですか' → 'lrrk2gbasncaとは何ですか'
#
# 형식: <ko-anchor>|<ja-anchor>

lrrk2gbasnca-유전자-이름이-왜-나오나요|lrrk2gbasncaとは何ですか
충동조절장애icd가-뭔가요|衝動制御障害icdとは何ですか
흡인성-폐렴이-뭔가요|誤嚥性肺炎とは何ですか
이상운동증운동-변동온-오프이-뭔가요|ジスキネジアと運動症状の変動オンオフとは何ですか
뇌심부자극술dbs이-뭔가요|脳深部刺激療法dbsとは何ですか
흑질기저핵-뇌의-어떤-부분인가요|黒質大脳基底核とは何ですか
파라콰트트리클로로에틸렌이-뭔가요|パラコートトリクロロエチレンとは何ですか
정상압-수두증혈관성-파킨슨증이-뭔가요|正常圧水頭症脳血管性パーキンソニズムとは何ですか
임상시험-1상2상3상-무슨-뜻인가요|臨床試験の第1相第2相第3相とは何ですか
서동증경직이-뭔가요|動作緩慢無動筋固縮とは何ですか
상염색체-우성열성이-뭔가요|常染色体顕性遺伝常染色体潜性遺伝とは何ですか
브라크-가설미주신경이-뭔가요|ブラーク仮説迷走神経とは何ですか
본태성-떨림약물유발-파킨슨증이-뭔가요|本質性振戦薬剤性パーキンソニズムとは何ですか
무감동apathy가-뭔가요|アパシー意欲低下とは何ですか
도파민-작용제가-뭔가요|ドパミンアゴニストとは何ですか
근긴장이상-통증중추성-통증이-뭔가요|ジストニア性の痛み中枢性疼痛とは何ですか
prkn이-뭔가요|prknとは何ですか
mao-b-억제제가-뭔가요|mao-b阻害薬とは何ですか
datscansyn-one-검사가-뭔가요|datscansyn-one検査とは何ですか
하지불안증후군rls가-뭔가요|レストレスレッグス症候群rlsとは何ですか
페노티아진-계열이-뭔가요|フェノチアジン系薬剤とは何ですか
펀딩이-뭔가요|パンディングとは何ですか
파킨슨병-정신병이-뭔가요|パーキンソン病の精神症状とは何ですか
젊은-발병-파킨슨병yopd이-뭔가요|若年発症パーキンソン病yopdとは何ですか
임의후견이-뭔가요|任意後見制度とは何ですか
요양원과-요양병원은-어떻게-다른가요|介護老人福祉施設介護老人保健施設介護医療院はどう違いますか
야간-무동증이-뭔가요|夜間無動とは何ですか
알파-시누클레인이-뭔가요|アルファシヌクレインとは何ですか
수시적성검사가-뭔가요|運転免許の認知機能検査臨時適性検査とは何ですか
사전연명의료의향서가-뭔가요|人生会議acpリビングウィルとは何ですか
불완전-침투율이-뭔가요|不完全浸透とは何ですか
루이소체-치매dlb가-뭔가요|レビー小体型認知症dlbとは何ですか
렘수면행동장애rbd가-뭔가요|レム睡眠行動障害rbdとは何ですか
돌봄-소진이-뭔가요|介護者の燃え尽きバーンアウトとは何ですか
도파민-차단제가-뭔가요|ドパミン遮断薬とは何ですか
도파민-조절장애-증후군이-뭔가요|ドパミン調節障害症候群とは何ですか
단백질-재분배-식이가-뭔가요|タンパク質再配分食とは何ですか
경두개직류자극tdcs이-뭔가요|経頭蓋直流電気刺激tdcsとは何ですか
경도인지장애mci가-뭔가요|軽度認知障害mciとは何ですか
updrs가-뭔가요|updrsとは何ですか
pde5-억제제가-뭔가요|pde5阻害薬とは何ですか
msapspcbd가-뭔가요|msapspcbdとは何ですか
lsvt-loud가-뭔가요|lsvt-loudとは何ですか
